# Gaussian fit parameters
#  col1: ID - 0=aliphatic, 1=7.7 complex, col2: parameters, col3: fit error
0.000000000000000000e+00,2.883711414176050932e-14
0.000000000000000000e+00,7.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,9.999999999999999988e-15
0.000000000000000000e+00,7.250000000000000000e+00
0.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,9.036174401230489951e-14
1.000000000000000000e+00,7.788262685060005630e+00
1.000000000000000000e+00,2.202560084268716523e-01
1.000000000000000000e+00,7.672331461801320634e-14
1.000000000000000000e+00,7.807995110143643558e+00
1.000000000000000000e+00,2.478599153988214343e-01
1.000000000000000000e+00,2.000000000002793512e-19
1.000000000000000000e+00,8.099999999999999645e+00
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,6.197057296083095233e-14
1.000000000000000000e+00,8.619739737226232990e+00
1.000000000000000000e+00,1.658304191788713133e-01
