# Gaussian fit parameters
#  col1: ID - 0=aliphatic, 1=7.7 complex, col2: parameters, col3: fit error
0.000000000000000000e+00,5.000000000000000152e-14
0.000000000000000000e+00,7.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,9.999999999999999988e-15
0.000000000000000000e+00,7.250000000000000000e+00
0.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.652757340031077317e-14
1.000000000000000000e+00,7.667489799464492606e+00
1.000000000000000000e+00,9.346246405433832061e-02
1.000000000000000000e+00,2.176955841592984905e-13
1.000000000000000000e+00,8.137535920679168200e+00
1.000000000000000000e+00,2.457899857906586383e-01
1.000000000000000000e+00,1.999999999999999950e-19
1.000000000000000000e+00,8.099999999999999645e+00
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,6.222892581490640521e-14
1.000000000000000000e+00,8.671810635038932347e+00
1.000000000000000000e+00,1.227780171968115147e-01
