# Gaussian fit parameters
#  col1: ID - 0=aliphatic, 1=7.7 complex, col2: parameters, col3: fit error
0.000000000000000000e+00,3.025514774839036146e-15
0.000000000000000000e+00,6.899642375306003217e+00
0.000000000000000000e+00,7.295246713737776889e-02
0.000000000000000000e+00,8.348868648109032533e-16
0.000000000000000000e+00,7.250000000000000000e+00
0.000000000000000000e+00,2.687550377349551267e-02
1.000000000000000000e+00,1.287373500783238707e-15
1.000000000000000000e+00,7.683733319156123009e+00
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.038633617435805712e-17
1.000000000000000000e+00,7.923832605401014639e+00
1.000000000000000000e+00,3.379331350556011304e-02
1.000000000000000000e+00,8.701528715124608515e-16
1.000000000000000000e+00,8.099999999999999645e+00
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,6.111410814453596375e-16
1.000000000000000000e+00,8.505468371550486850e+00
1.000000000000000000e+00,2.005994822932135047e-01
