# Gaussian fit parameters
#  col1: ID - 0=aliphatic, 1=7.7 complex, col2: parameters, col3: fit error
0.000000000000000000e+00,1.067344194600376218e-15
0.000000000000000000e+00,6.954495238835225024e+00
0.000000000000000000e+00,4.000000000000000083e-02
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.221061902810419042e+00
0.000000000000000000e+00,4.237202037193478488e-02
1.000000000000000000e+00,2.852738728698522801e-15
1.000000000000000000e+00,7.590289788605771193e+00
1.000000000000000000e+00,1.412123945046445950e-01
1.000000000000000000e+00,3.372267204083435116e-15
1.000000000000000000e+00,7.821135145221653318e+00
1.000000000000000000e+00,1.531358293860470843e-01
1.000000000000000000e+00,1.999999999999999950e-19
1.000000000000000000e+00,8.212041831845210638e+00
1.000000000000000000e+00,1.592154510858763417e-01
1.000000000000000000e+00,1.381095352364151789e-15
1.000000000000000000e+00,8.588484956268548132e+00
1.000000000000000000e+00,1.109383763806686407e-01
